user,text,sentiment,gender,pred_prob,pred_label,mitigated_prob,mitigated_label
cowgirlupmz,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand!,1,1.0,0.86773795,1.0,0.7898731,1
theK_from_Paris,A little sad  pretty bad news and feel too much insecure about my playing.,0,0.0,0.693725,0.0,0.027637353,0
patriciannroque,Hahaha! Don't be scared. They need fresh minds and you're it.,1,1.0,0.83619434,1.0,0.44837248,0
amelia9787,grandparents arrive tomorrow... good nite,1,0.0,0.87756026,1.0,0.6946886,1
thisismichelle,that was a good chat!  keep u posted guys...,1,0.0,0.90481263,1.0,0.9328779,1
GarveyBen,to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me,0,1.0,0.70867443,1.0,0.10654986,0
kurtsevits,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch",1,1.0,0.8424639,1.0,0.9463794,1
tina5b5,lots of cool ppl  ~~&gt;        #followfriday,1,1.0,0.89007396,1.0,0.89814156,1
LonleyAngle,Alright this is my debute twitt  yay lol,1,0.0,0.86668307,1.0,0.86134577,1
NANCY___,need to charge my mac...,0,0.0,0.8029196,1.0,0.15327425,0
LucyPersonal,I want my bed  x,0,1.0,0.790155,1.0,0.24580923,0
NaniWaialeale,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16",1,0.0,0.8651418,1.0,0.94307303,1
candisleigh,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks.",0,0.0,0.6817832,0.0,0.027773907,0
Lali9,I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see,1,0.0,0.83454067,1.0,0.9853425,1
enia59,"My server has been going down lots lately, it makes me a sad WoW player  lol",0,0.0,0.6365984,0.0,0.024866357,0
MellyFed,sore throat,0,0.0,0.8247526,1.0,0.071278036,0
rosieroserosie,He'd go anywhere with me,1,0.0,0.8585005,1.0,0.52290493,1
applexlove,lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more,1,1.0,0.9283626,1.0,0.9830092,1
sashamaemo,This tea taste like pure WATER!!!  Yuck!,0,1.0,0.8684101,1.0,0.7851878,1
evajaybird6,sad that it's not my birthday anymore and that my balloon is deflating,0,0.0,0.6143695,0.0,0.023844762,0
alias452,"Great to get bk online, my own net was down",0,1.0,0.799552,1.0,0.28356487,0
Johnny_kah,Finally done work YAY,1,1.0,0.88940614,1.0,0.81661296,1
jabarijamison,i aint alive....im just breathing to death,0,0.0,0.7791853,1.0,0.14543897,0
jamieallison,Sorry you missed it. Good night!,1,0.0,0.883269,1.0,0.3643408,0
LillieTheTiger,oopss did that twice  D: im such a silly moo.,0,0.0,0.86368483,1.0,0.61170226,1
bethanxo,"mummmmmmmmmmm,  can you put the pizza in the oven",1,0.0,0.91371924,1.0,0.82122535,1
Stubbs,shit! I thought it was months away  I'm not in Sheffield this weekend,0,1.0,0.6522856,1.0,0.03502901,0
willnotshutup,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha.,1,1.0,0.88569134,1.0,0.6821034,1
KrisStepney,Wishes  a Happy Mother's Day!,1,1.0,0.9091201,1.0,0.86146694,1
Pittsburgurl,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming",0,1.0,0.6713244,1.0,0.030620199,0
ChristinaRenee2,That should give you happy thoughts,1,1.0,0.91847783,1.0,0.9108534,1
katecrist,OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics,0,0.0,0.80312353,1.0,0.25252658,0
yaseminx3,eatin an icecream,1,0.0,0.88670814,1.0,0.8529238,1
julierocks78,"FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",0,1.0,0.40412986,1.0,0.0048571066,0
theotherkind,But I will follow,1,0.0,0.8350461,1.0,0.44799206,0
rosiegibbs,my last nite in work for weeks.....ah im in such good humour,1,0.0,0.8205946,1.0,0.26542,0
duckiemonster,"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me",0,1.0,0.77973306,1.0,0.52069014,1
chrisdtu,"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away...",0,1.0,0.66849566,1.0,0.09225955,0
chrisblegit,Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party.,0,1.0,0.81217265,1.0,0.2990205,0
BowledShrimp,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite,1,1.0,0.7969425,1.0,0.7936307,1
junkieenet,hope you feel better mommy  I love you :X,0,1.0,0.9015288,1.0,0.81628674,1
pollitahaha,We should have brought a flask with v0dka. Hahaha.,1,1.0,0.9233166,1.0,0.94884604,1
Lindseymw,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,0,0.0,0.62308866,0.0,0.056675367,0
_Mom_23,gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep...,0,1.0,0.6438567,1.0,0.2809365,0
cousinfever,Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add:,1,1.0,0.8537833,1.0,0.6849055,1
michaelmknight,"I know you do, Go TEAM GB",1,1.0,0.8716825,1.0,0.679363,1
HisBabyDoll09,"Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile",1,1.0,0.8822017,1.0,0.789432,1
claireredfield,I work 9-6 today with bitch boss,0,1.0,0.7842208,1.0,0.21531363,0
CourtKP,DD has pinkeye...not fun.,0,1.0,0.8308063,1.0,0.21690506,0
hawaiiandreamer,3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing,1,1.0,0.84238917,1.0,0.96938956,1
AbbyLee2242,Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!,1,1.0,0.8574506,1.0,0.79007155,1
ukv1290,Off to london biggin hill,1,1.0,0.8546886,1.0,0.3516427,0
nickitastic90,definitely just failed my exam,0,1.0,0.8445354,1.0,0.47921845,0
JohnChow,I mention it in the blog post. It's in Vancouver.,1,1.0,0.8706333,1.0,0.8304851,1
caitlinharnett,I am soooo happy!!!,1,1.0,0.85078186,1.0,0.72537535,1
kenarmstrong1,This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?,1,1.0,0.92083687,1.0,0.979067,1
JordanGodwin,mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support.,0,1.0,0.7934633,1.0,0.2587475,0
GeorgiaSaurus,haha you can cuddle with me anytime,1,1.0,0.9219299,1.0,0.88202155,1
lei_d,had a lovely birthday.,1,0.0,0.89359283,1.0,0.7891757,1
theanykey,The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son.,1,0.0,0.7584931,1.0,0.7489956,1
melissarrrgh,tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,1,0.0,0.8133166,1.0,0.6417136,1
GOPqueen24,TWO More weeks and its back to work.,0,1.0,0.7969458,1.0,0.12980013,0
JessaNicole84,Kylie's being a bad girl today.,0,1.0,0.83066344,1.0,0.2655034,0
victoriaalee,"I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there!",1,1.0,0.7948227,1.0,0.638093,1
RosalieWilliams,Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well,0,0.0,0.754925,1.0,0.16444026,0
manicmammy,well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady.,1,1.0,0.8607713,1.0,0.92324793,1
Mykkel,You have many friends here who will walk with you through the dark and the light. Smile,1,0.0,0.92725027,1.0,0.9621788,1
nicoladolan,is having a bad day - email not working properly and looks like the 10km run is off for me,0,1.0,0.73774135,1.0,0.038981155,0
Cara_Bennett,"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man!",1,0.0,0.86934036,1.0,0.9286148,1
florinpuscas,un vot pe blogoree pls:    Multumesc!,1,0.0,0.8742426,1.0,0.70007265,1
spencerkate,"Dear baby, I can't wait until your teething days are over.",0,1.0,0.828065,1.0,0.64614564,1
myohmy2boys,"LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",0,0.0,0.7902883,1.0,0.5200396,1
gobullet,,1,1.0,0.8779697,1.0,0.5256914,1
gossipgirlx333,how do you know how much your twitter profile is worth?? haha...or was that a joke?,1,1.0,0.9234219,1.0,0.9798341,1
PAULSKRATCH,I had Wendy's before this. That was a bad choice,0,1.0,0.7714493,1.0,0.14498886,0
BrianPeek,Thanks!,1,0.0,0.90866196,1.0,0.9306512,1
evelynsharma,"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",0,0.0,0.80109704,1.0,0.13877389,0
druzilla47,yeah. totally.,0,1.0,0.86736673,1.0,0.5734904,1
Jinxie_G,Aren't you sweet?,1,0.0,0.9062381,1.0,0.7492752,1
Jantunstill,Poor thing  Hope you feel brighter soon x,0,0.0,0.8511505,1.0,0.09996769,0
kevinlagang,Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,0,1.0,0.6805246,1.0,0.032459177,0
sarahwar31,i gotta work today,0,0.0,0.80743706,1.0,0.27230996,0
joshyybear,bob to the top high school musical porno. ftw,1,1.0,0.86780095,1.0,0.8000586,1
meghann,"during this Stanley Cup match up, yes, I am a Pens fan.",1,0.0,0.8094496,1.0,0.7111268,1
VeronicaFitzhug,"I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast?",1,1.0,0.81643337,1.0,0.7712753,1
Kirstyns,I thought it was meant to be a hot summer  to mean rain doesnt mean hot.,0,0.0,0.7134851,1.0,0.044927623,0
PeteWJ,Welcomes home  Glad you had a fabbo time!,1,1.0,0.9032341,1.0,0.87936443,1
martynhett,doesn't know what to do with himself today... but might get some blonde put in his hair for summer,1,0.0,0.8170797,1.0,0.7544101,1
the_0ne_ne0,"kick  butt, Chuck has been renewed for a third season.  Sucks only 13 episodes though.",0,0.0,0.7110715,1.0,0.030428838,0
theboinq,just wants to get it over and done with. I miss working,0,0.0,0.7456587,1.0,0.071778126,0
romikid,"Sorry to hear that  but hey, you're eating well at least!",0,0.0,0.8081342,1.0,0.33080485,0
toraks,Phew! Done rewriting the 1st bit of my results to order. Reread comments from bosses to ensure I'd incorporated them. Had. But sad now.,0,1.0,0.58238345,1.0,0.028387614,0
Stephi90,morning tweeple  hope you all have a great monday,1,0.0,0.9229226,1.0,0.8347041,1
LottieLeefe,packing up my room...,0,0.0,0.83240175,1.0,0.26027277,0
amittheinfinity,CEO is on the floor today. Need to be careful while surfing today. It's all work and no play day.,0,0.0,0.7023421,1.0,0.06278721,0
Imabtch_and,hitting the gym!  its bout time,0,0.0,0.8661509,1.0,0.38937095,0
AlishaLoves,#musicmonday King Blues My Bolder,1,1.0,0.84254277,1.0,0.5565361,1
michaylangela,"I have a 1,500-word deadline in 2 days, stacks of research materials are surrounding me, and I don't have a clue how to start  Need coffee",0,1.0,0.6795674,1.0,0.11448407,0
kayotickitchen,- Before his hair cut. I just wanna kiss that little face all day long,1,1.0,0.7450387,1.0,0.09034113,0
vanderkj,Figuring out how to live a life where I'm my own boss... fun,1,1.0,0.7921492,1.0,0.523821,1
_kristi,"CAN YOU SAY AFTER 30 HOURS OF TRAVELING IM FINALLY IN ARGENTINA?! yes! oh hello Buenos Aires, how i love you",1,0.0,0.9147813,1.0,0.96931046,1
Fraser101,Saha,0,1.0,0.8779697,1.0,0.5256914,1
beckss91,I don't feel well at all. Dizziness and vomit. No fun,0,0.0,0.75045574,1.0,0.10261511,0
DesireeDaRocha,"I want to drink tonight,, want a cosmopolitan",1,1.0,0.7906175,1.0,0.33898765,0
jeffreeefans,I have already watch that video lol,1,1.0,0.8324834,1.0,0.46625167,0
Idabridge,is off to work til 4! Happy Hump Day!,1,0.0,0.83853304,1.0,0.55468404,1
maura_shycat,....  Hope you're okay?,0,0.0,0.8981176,1.0,0.59394026,1
bianca_maria,"i made 29 updates today, my record xD talk to you tomorrow bye",1,0.0,0.8203955,1.0,0.750873,1
Eribubble,aww tell me about it!!! its just not the same  hope you have a better day,0,0.0,0.8706296,1.0,0.23151542,0
jessica_tsuji,back from school w/  Making a grocery run w/  before celebrating  22nd birthday with a barbeque.,1,1.0,0.88132674,1.0,0.84739685,1
deafmillionaire,Summat to make your laugh today,1,0.0,0.883987,1.0,0.8925677,1
FranieFrouFrou,"regretting not wearing sunscreen today, spent 6 hours walking round Kew Gardens during a mini heatwave. Healthy glow is an understatement",0,0.0,0.7252651,1.0,0.14318189,0
corinalou,Shot after shot. Alc is lying to me,0,1.0,0.81215304,1.0,0.28383446,0
Calypso51,Prizes are good!,1,1.0,0.9073533,1.0,0.7982918,1
ricosuave115,@ the booptys crib watching chucky 3 with the little one my boopty aint feeling well,0,1.0,0.848924,1.0,0.32240325,0
nellynjr1022,im off from one job and now im off to my next one. i wish i was rich and didnt have to worry about money. but i have to cuz of my son.,0,0.0,0.34185174,0.0,0.03198166,0
williamtm,"Ah, well, we're both in the same boat then. I switched because they were throttling the speed every single night.",0,1.0,0.83998626,1.0,0.7206408,1
TEAMofDebbyRyan,and   is WRONG tha page dont found  follow us -we r ur team TEAMofDEBBYRYAN,0,0.0,0.8458161,1.0,0.33230567,0
annaelvira,&quot;paradise is where I am.&quot; he also said,1,0.0,0.83461094,1.0,0.7546313,1
JustJayde,you told me you LIKED my marshmallow fish. *runs off crying*,0,1.0,0.8645035,1.0,0.6240743,1
marocharim,is back at the hotel. wifi doesn't reach the room,0,0.0,0.79330266,1.0,0.049159165,0
erin_marcella,i demand a picture of the red hair please and thankyou,1,0.0,0.8793243,1.0,0.93075836,1
MouthyGirl,I will try to remember to Twitter from the George Strait concert,1,1.0,0.84672904,1.0,0.7825774,1
mickychin,going to take some photo and ride my whole new bike~~,1,1.0,0.8486583,1.0,0.6763459,1
danashanti,good afternnon world althought the weather is bad i hate the rainny season,0,1.0,0.7978142,1.0,0.09341057,0
alexabbass,"yeah, i've started too",0,1.0,0.84610415,1.0,0.4004804,0
ShawnORourke,I have got to bid ou all goodnight tweeps. Need to spend more QTwith  the miniscule before he leaves for the week,1,1.0,0.79976004,1.0,0.67994076,1
EternityForever,Tra la la la la!  might make a video later  see if i can be bothered,1,0.0,0.8899065,1.0,0.9682311,1
Casey_Rose_xoxo,lol that would tiiiiight but idk about money situation!,0,1.0,0.8311793,1.0,0.31498972,0
